identifier,path,comp_nm,img_prod_nm,div_l,div_m,volume,width,height,xmin,xmax,ymin,ymax,x_center,y_center,boundingbox_width,boundingbox_height,class
10001_0_s_11.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_11.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1105,1933,130,2867,0.5083668005354752,0.5015060240963856,0.2771084337349397,0.9159973226238286,0
10001_0_s_12.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_12.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1100,1941,125,2868,0.5088688085676037,0.5008366800535475,0.2814591700133869,0.9180053547523428,0
10001_0_s_13.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_13.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1099,1943,124,2871,0.5090361445783133,0.5011713520749665,0.2824631860776439,0.9193440428380188,0
10001_0_s_16.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_16.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1097,1924,122,2872,0.5055220883534136,0.501004016064257,0.2767737617135207,0.9203480589022758,0
10001_0_s_17.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_17.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1099,1920,122,2872,0.5051874163319946,0.501004016064257,0.2747657295850066,0.9203480589022758,0
10001_0_s_19.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_19.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1095,1921,122,2872,0.5046854082998661,0.501004016064257,0.2764390896921017,0.9203480589022758,0
10001_0_s_1.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_1.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1084,1909,128,2865,0.5008366800535475,0.5008366800535475,0.2761044176706827,0.9159973226238286,0
10001_0_s_20.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_20.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1092,1917,121,2873,0.5035140562248996,0.501004016064257,0.2761044176706827,0.9210174029451138,0
10001_0_s_21.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_21.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1092,1914,122,2871,0.5030120481927711,0.5008366800535475,0.2751004016064257,0.9200133868808568,0
10001_0_s_22.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_22.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1085,1910,125,2848,0.5011713520749665,0.4974899598393574,0.2761044176706827,0.9113119143239624,0
10001_0_s_23.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_23.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1082,1900,127,2847,0.4989959839357429,0.4976572958500669,0.2737617135207497,0.9103078982597056,0
10001_0_s_24.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_24.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1081,1906,127,2846,0.4998326639892905,0.4974899598393574,0.2761044176706827,0.9099732262382864,0
10001_0_s_2.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_2.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1085,1914,129,2868,0.5018406961178046,0.5015060240963856,0.2774431057563588,0.9166666666666666,0
10001_0_s_3.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_3.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1088,1917,131,2840,0.5028447121820616,0.4971552878179384,0.2774431057563588,0.9066265060240964,0
10001_0_s_4.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_4.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1090,1920,133,2837,0.5036813922356091,0.4969879518072289,0.2777777777777778,0.9049531459170014,0
10001_0_s_5.jpg,/home/mmc/disk2/duck/cap/data/drink/train/images/10001_0_s_5.jpg,광동제약,유어스광동어성초500ml,음료,기능성음료,500ML,2988,2988,1093,1919,133,2838,0.5040160642570282,0.4971552878179384,0.2764390896921017,0.9052878179384204,0
